descripcion,sku
"""Tira flexible 60 LEDs x metro, 5050 SMD, interior""",MLED-60-14.4W-5050/LD
"""Tira flexible 60 LEDs x metro, 5050 SMD, interior""",MLED-60-14.4W-5050/RO
"""Tira flexible 60 LEDs x metro, 5050 SMD, interior""",MLED-60-14.4W-5050/VE
Cable c/doble conector de presión para tiras 5050 SMD,MLED-60-1-5050
Cable c/doble conector de presión para tiras RGB,MLED-60-1-RGB
Conector esquina para unir tiras RGBW,MLED-60-1-RGBW
Cable c/conector de presión y terminación hembra para tiras 3528 SMD,MLED-60-2
Cable c/conector de presión y terminación hembra para tiras 2835 SMD,MLED-60-2-2835
Cable c/conector de presión y terminación hembra para tiras 5050 SMD,MLED-60-2-5050
"""Tira flexible 60 LEDs x metro, 2835 SMD, interior""",MLED-60-4.8W-5/2500K
"""Tira flexible 60 LEDs x metro, 2835 SMD, interior""",MLED-60-4.8W-5/BC
"""Tira flexible 60 LEDs x metro, 2835 SMD, interior""",MLED-60-4.8W-5/LD
"""Tira flexible 60 LEDs x metro, 2835 SMD, interior""",MLED-60-4.8W-5/RO
Cable c/conector de presión para tiras 2835 SMD,MLED-60-4-2835
Cable c/conector de presión para tiras 3528 SMD,MLED-60-4-3528
Cable c/conector de presión para tiras 5050 SMD,MLED-60-4-5050
Cable c/conector de presión para tiras RGB,MLED-60-4-RGB
Conector para tiras RGBW a driver de proyecto,MLED-60-4-RGBW
Conector de presión para tiras 2835 SMD,MLED-60-5-2835
Conector de presión para tiras 3528 SMD,MLED-60-5-3528
Conector de presión para tiras 5050 SMD,MLED-60-5-5050
Conector de presión para tiras RGB,MLED-60-5-RGB
Conector medio para unir tiras RGBW,MLED-60-5-RGBW
"Conector con terminación hembra-macho para tiras 3528, 5050, 2835 y módulos SMD",MLED-60-6WP
Kit de silicón y tapones para aislar conexiones,MLED-60-7-KSILICON
"""Tira flexible 60 LEDs x metro, 2835 SMD 127 V, exterior""",MLED-60-IP45-127V-CD/AMB
"Tira flexible 60 LEDs x metro, 2835 SMD 127V Exterior",MLED-60-IP45-127V-CD/AZ
"Tira flexible 60 LEDs x metro, 2835 SMD 127 V, exterior",MLED-60-IP45-127V-CD/BC
"Tira flexible IP45, 60 LEDs x metro, 2835 SMD, 127V, Blanco Neutro",MLED-60-IP45-127V-CD/BN
"""Tira flexible 60 LEDs x metro, 2835 SMD 127 V, exterior""",MLED-60-IP45-127V-CD/LD
"""Tira flexible 60 LEDs x metro, 2835 SMD 127 V, exterior""",MLED-60-IP45-127V-CD/RO
"""Tira flexible 60 LEDs x metro, 2835 SMD 127 V, exterior""",MLED-60-IP45-127V-CD/VE
"""Tira flexible 60 LEDs x metro, 5050 SMD 127 V, exterior""",MLED-60-IP45-5050-127V-CD/2500K
"""Tira flexible 60 LEDs x metro, 5050 SMD 127 V, exterior""",MLED-60-IP45-5050-127V-CD/AMB
"""Tira flexible 60 LEDs x metro, 5050 SMD 127 V, exterior""",MLED-60-IP45-5050-127V-CD/BC
"Tira flexible IP45, 60 LEDs x metro, 5050 SMD, 127V, Blanco Neutro",MLED-60-IP45-5050-127V-CD/BN
"""Tira flexible 60 LEDs x metro, 5050 SMD 127 V, exterior""",MLED-60-IP45-5050-127V-CD/LD
"""Tira flexible 60 LEDs x metro, 2835 SMD, sumergible""",MLED-60-IP68-12V/BC
"""Tira flexible 60 LEDs x metro, 2835 SMD, sumergible""",MLED-60-IP68-12V/LD
"""Tira flexible 60 LEDs x metro, 2835 SMD, sumergible""",MLED-60-IP68-12V/RO
"""Tira flexible 60 LEDs x metro, 5050 SMD, sumergible""",MLED-60-IP68-5050/BC
"""Tira flexible 60 LEDs x metro, 5050 SMD, sumergible""",MLED-60-IP68-5050/LD
"""Tira flexible 60 LEDs x metro, 5050 SMD, sumergible""",MLED-60-IP68-5050/RO
"""Tira flexible 60 LEDs x metro, 5050 SMD, sumergible""",MLED-60-IP68-5050/VE
Tapa fin plástica para manguera de LED 5050 SMD,MLED-6-5050SMD
Tapa fin plástica para manguera de LED SMD,MLED-6-SMD
Control CCT,MLED-CONTROL-CCT-127V
Control RGBW,MLED-CONTROL-RGB-127V
Grapa de plástico flexible para todo tipo de tira flexible,MLED-GF
Kit con tira flexible de LED 5050 SMD 12V IP68 RGB -KIT,MLEDK-30-IP68-12V/RGB
Cable alimentador con convertidor de corriente ca-cd 127V para manguera LED NEON,MLED-NEON-1
"""Manguera flexible 72 LEDs x metro, 5050 SMD NEON, exterior 10 m""",MLED-NEON-10-127V/BC
"""Manguera flexible 72 LEDs x metro, 5050 SMD NEON, exterior 10 m""",MLED-NEON-10-127V/LD
"""Manguera flexible 72 LEDs x metro, 5050 SMD NEON, exterior 20 m""",MLED-NEON-20-127V/BC
"""Manguera flexible 72 LEDs x metro, 5050 SMD NEON, exterior 20 m""",MLED-NEON-20-127V/LD
Conector medio en I para manguera LED NEON,MLED-NEON-3
Conector esquina flexible para mangura LED NEON,MLED-NEON-5
Tapa fin plástica para manguera LED NEON,MLED-NEON-6
Tubo plástico termo-contráctil 5 cm. para manguera LED NEON,MLED-NEON-7
100cm aluminium profile,MLED-NEON-8
Clip de Instalación,MLED-NEON-9
PERFIL 10M SUSPENDIDO PARA TIRA LED,ORIZZONTE-10M
PERFIL 15M SUSPENDIDO PARA TIRA LED,ORIZZONTE-15M
PERFIL 5M SUSPENDIDO PARA TIRA LED,ORIZZONTE-5M
Perfil lineal de aluminio para incrustar en enjarre con difusor,PL-200-13519-AL
Tapa para perfil flexible con salida,PL-200-1806-1
Accesorio de union perfill a perfil,PL-200-1806-4
Accesorio de suspension para perfil,PL-200-1913-AS
Tapa final para perfil DE ALUMINIO empotrado DE LUZ INDIRECTA CON salida,PL-200-1970-1
Tapa final para perfil DE ALUMINIO empotrado DE LUZ INDIRECTA SIN salida,PL-200-1970-2
Perfil lineal de aluminio para luz indirecta sin difusor,PL-200-1970-AL
Tapa final para perfil de plastico circular SIN salida,PL-200-2020-1
Tapa final para perfil de plastico circular con salida,PL-200-2020-2
Perfil lineal de plastico circular,PL-200-2020-PP
Perfil rectangular lineal para empotrar en negro,PL-200-2416-NG
Conector a 90 grados para perfil tipo barandal,PL-200-5252-4
Conector a desnivel para perfil tipo barandal,PL-200-5252-5
Conector a 135 grados para perfil tipo barandal,PL-200-5252-6
Conector recto para perfil tipo barandal,PL-200-5252-7
Perfil lineal de aluminio tipo barandal,PL-200-5252-AL
Perfil lineal de aluminio tipo barandal blanco,PL-200-5252-BC
