descripcion,sku
Luminario arbotante de multiples cuadros en color blanco mate con iluminación blanco calido,MESSIER-I-BN-BC
Luminario arbotante de multiples cuadros en color blanco mate con iluminación blanco neutro,MESSIER-I-BN-BN
Luminario arbotante de multiples cuadros en color blanco mate con iluminación DUAL,MESSIER-I-BN-DUAL
Luminario arbotante de multiples cuadros en color blanco mate con iluminación luz de día,MESSIER-I-BN-LD
Luminario arbotante de multiples cuadros en color blanco mate con iluminación RGB,MESSIER-I-BN-RGB
Luminario arbotante de multiples cuadros en color blanco mate con iluminación en RGB digital,MESSIER-I-BN-TCH
Luminario arbotante de multiples cuadros en color champagne con iluminación blanco calido,MESSIER-I-CH-BC
Luminario arbotante de multiples cuadros en color champagne con iluminación blanco neutro,MESSIER-I-CH-BN
Luminario arbotante de multiples cuadros en color champagne con iluminación DUAL,MESSIER-I-CH-DUAL
Luminario arbotante de multiples cuadros en color champagne con iluminación luz de día,MESSIER-I-CH-LD
Luminario arbotante de multiples cuadros en color champagne con iluminación RGB,MESSIER-I-CH-RGB
Luminario arbotante de multiples cuadros en color champagne con iluminación en RGB digital,MESSIER-I-CH-TCH
Luminario arbotante de multiples cuadros en color gris con iluminación blanco calido,MESSIER-I-GR-BC
Luminario arbotante de multiples cuadros en color gris con iluminación blanco neutro,MESSIER-I-GR-BN
Luminario arbotante de multiples cuadros en color gris con iluminación DUAL,MESSIER-I-GR-DUAL
Luminario arbotante de multiples cuadros en color gris con iluminación luz de día,MESSIER-I-GR-LD
Luminario arbotante de multiples cuadros en color gris con iluminación RGB,MESSIER-I-GR-RGB
Luminario arbotante de multiples cuadros en color gris con iluminación en RGB digital,MESSIER-I-GR-TCH
Luminario suspendido con iluminación indirecta formado por 3 piezas en color aluminio brillante con iluminación blanco calido,MESSIER-III-ALB-BC
Luminario suspendido con iluminación indirecta formado por 3 piezas en color aluminio brillante con iluminación blanco neutro,MESSIER-III-ALB-BN
Luminario suspendido con iluminación indirecta formado por 3 piezas en color aluminio brillante con iluminación DUAL,MESSIER-III-ALB-DUAL
Luminario suspendido con iluminación indirecta formado por 3 piezas en color aluminio brillante con iluminación luz de día,MESSIER-III-ALB-LD
Luminario suspendido con iluminación indirecta formado por 3 piezas en color aluminio brillante con iluminación RGB,MESSIER-III-ALB-RGB
Luminario suspendido con iluminación indirecta formado por 3 piezas en color aluminio brillante con iluminación en RGB digital,MESSIER-III-ALB-TCH
Luminario suspendido con iluminación indirecta formado por 3 piezas en color blanco mate con iluminación blanco calido,MESSIER-III-BN-BC
Luminario suspendido con iluminación indirecta formado por 3 piezas en color blanco mate con iluminación blanco neutro,MESSIER-III-BN-BN
Luminario suspendido con iluminación indirecta formado por 3 piezas en color blanco mate con iluminación DUAL,MESSIER-III-BN-DUAL
Luminario suspendido con iluminación indirecta formado por 3 piezas en color blanco mate con iluminación luz de día,MESSIER-III-BN-LD
Luminario suspendido con iluminación indirecta formado por 3 piezas en color blanco mate con iluminación RGB,MESSIER-III-BN-RGB
Luminario suspendido con iluminación indirecta formado por 3 piezas en color blanco mate con iluminación en RGB digital,MESSIER-III-BN-TCH
Luminario suspendido con iluminación indirecta formado por 3 piezas en color champagne con iluminación blanco calido,MESSIER-III-CH-BC
Luminario suspendido con iluminación indirecta formado por 3 piezas en color champagne con iluminación blanco neutro,MESSIER-III-CH-BN
Luminario suspendido con iluminación indirecta formado por 3 piezas en color champagne con iluminación DUAL,MESSIER-III-CH-DUAL
Luminario suspendido con iluminación indirecta formado por 3 piezas en color champagne con iluminación luz de día,MESSIER-III-CH-LD
Luminario suspendido con iluminación indirecta formado por 3 piezas en color champagne con iluminación RGB,MESSIER-III-CH-RGB
Luminario suspendido con iluminación indirecta formado por 3 piezas en color champagne con iluminación en RGB digital,MESSIER-III-CH-TCH
Luminario suspendido con iluminación indirecta formado por 3 piezas en color gris con iluminación blanco calido,MESSIER-III-GR-BC
Luminario suspendido con iluminación indirecta formado por 3 piezas en color gris con iluminación blanco neutro,MESSIER-III-GR-BN
Luminario suspendido con iluminación indirecta formado por 3 piezas en color gris con iluminación DUAL,MESSIER-III-GR-DUAL
Luminario suspendido con iluminación indirecta formado por 3 piezas en color gris con iluminación luz de día,MESSIER-III-GR-LD
Luminario suspendido con iluminación indirecta formado por 3 piezas en color gris con iluminación RGB,MESSIER-III-GR-RGB
Luminario suspendido con iluminación indirecta formado por 3 piezas en color gris con iluminación en RGB digital,MESSIER-III-GR-TCH
Luminario suspendido con iluminación indirecta formado por 3 piezas en color madera nogal con iluminación blanco calido,MESSIER-III-MN-BC
Luminario suspendido con iluminación indirecta formado por 3 piezas en color madera nogal con iluminación blanco neutro,MESSIER-III-MN-BN
Luminario suspendido con iluminación indirecta formado por 3 piezas en color madera nogal con iluminación DUAL,MESSIER-III-MN-DUAL
Luminario suspendido con iluminación indirecta formado por 3 piezas en color madera nogal con iluminación luz de día,MESSIER-III-MN-LD
Luminario suspendido con iluminación indirecta formado por 3 piezas en color madera nogal con iluminación RGB,MESSIER-III-MN-RGB
Luminario suspendido con iluminación indirecta formado por 3 piezas en color madera nogal con iluminación en RGB digital,MESSIER-III-MN-TCH
Luminario suspendido con iluminación indirecta formado por 3 piezas en color madera obscura con iluminación blanco calido,MESSIER-III-MO-BC
Luminario suspendido con iluminación indirecta formado por 3 piezas en color madera obscura con iluminación blanco neutro,MESSIER-III-MO-BN
Luminario suspendido con iluminación indirecta formado por 3 piezas en color madera obscura con iluminación DUAL,MESSIER-III-MO-DUAL
Luminario suspendido con iluminación indirecta formado por 3 piezas en color madera obscura con iluminación luz de día,MESSIER-III-MO-LD
Luminario suspendido con iluminación indirecta formado por 3 piezas en color madera obscura con iluminación RGB,MESSIER-III-MO-RGB
Luminario suspendido con iluminación indirecta formado por 3 piezas en color madera obscura con iluminación en RGB digital,MESSIER-III-MO-TCH
Luminario suspendido con iluminación indirecta formado por 3 piezas en color negro brillante con iluminación blanco calido,MESSIER-III-NBR-BC
Luminario suspendido con iluminación indirecta formado por 3 piezas en color negro brillante con iluminación blanco neutro,MESSIER-III-NBR-BN
Luminario suspendido con iluminación indirecta formado por 3 piezas en color negro brillante con iluminación DUAL,MESSIER-III-NBR-DUAL
Luminario suspendido con iluminación indirecta formado por 3 piezas en color negro brillante con iluminación luz de día,MESSIER-III-NBR-LD
Luminario suspendido con iluminación indirecta formado por 3 piezas en color negro brillante con iluminación RGB,MESSIER-III-NBR-RGB
Luminario suspendido con iluminación indirecta formado por 3 piezas en color negro brillante con iluminación en RGB digital,MESSIER-III-NBR-TCH
Luminario suspendido con iluminación indirecta formado por 3 piezas en color negro con iluminación blanco calido,MESSIER-III-NG-BC
Luminario suspendido con iluminación indirecta formado por 3 piezas en color negro con iluminación blanco neutro,MESSIER-III-NG-BN
Luminario suspendido con iluminación indirecta formado por 3 piezas en color negro con iluminación DUAL,MESSIER-III-NG-DUAL
Luminario suspendido con iluminación indirecta formado por 3 piezas en color negro con iluminación luz de día,MESSIER-III-NG-LD
Luminario suspendido con iluminación indirecta formado por 3 piezas en color negro con iluminación RGB,MESSIER-III-NG-RGB
Luminario suspendido con iluminación indirecta formado por 3 piezas en color negro con iluminación en RGB digital,MESSIER-III-NG-TCH
Luminario suspendido con iluminación indirecta formado por 3 piezas en color negro rugoso con iluminación blanco calido,MESSIER-III-NR-BC
Luminario suspendido con iluminación indirecta formado por 3 piezas en color negro rugoso con iluminación blanco neutro,MESSIER-III-NR-BN
Luminario suspendido con iluminación indirecta formado por 3 piezas en color negro rugoso con iluminación DUAL,MESSIER-III-NR-DUAL
Luminario suspendido con iluminación indirecta formado por 3 piezas en color negro rugoso con iluminación luz de día,MESSIER-III-NR-LD
Luminario suspendido con iluminación indirecta formado por 3 piezas en color negro rugoso con iluminación RGB,MESSIER-III-NR-RGB
Luminario suspendido con iluminación indirecta formado por 3 piezas en color negro rugoso con iluminación en RGB digital,MESSIER-III-NR-TCH
Luminario arbotante de multiples cuadros en color madera nogal con iluminación blanco calido,MESSIER-I-MN-BC
Luminario arbotante de multiples cuadros en color madera nogal con iluminación blanco neutro,MESSIER-I-MN-BN
Luminario arbotante de multiples cuadros en color madera nogal con iluminación DUAL,MESSIER-I-MN-DUAL
Luminario arbotante de multiples cuadros en color madera nogal con iluminación luz de día,MESSIER-I-MN-LD
Luminario arbotante de multiples cuadros en color madera nogal con iluminación RGB,MESSIER-I-MN-RGB
Luminario arbotante de multiples cuadros en color madera nogal con iluminación en RGB digital,MESSIER-I-MN-TCH
Luminario arbotante de multiples cuadros en color madera obscura con iluminación blanco calido,MESSIER-I-MO-BC
Luminario arbotante de multiples cuadros en color madera obscura con iluminación blanco neutro,MESSIER-I-MO-BN
Luminario arbotante de multiples cuadros en color madera obscura con iluminación DUAL,MESSIER-I-MO-DUAL
Luminario arbotante de multiples cuadros en color madera obscura con iluminación luz de día,MESSIER-I-MO-LD
Luminario arbotante de multiples cuadros en color madera obscura con iluminación RGB,MESSIER-I-MO-RGB
Luminario arbotante de multiples cuadros en color madera obscura con iluminación en RGB digital,MESSIER-I-MO-TCH
Luminario arbotante de multiples cuadros en color negro brillante con iluminación blanco calido,MESSIER-I-NBR-BC
Luminario arbotante de multiples cuadros en color negro brillante con iluminación blanco neutro,MESSIER-I-NBR-BN
Luminario arbotante de multiples cuadros en color negro brillante con iluminación DUAL,MESSIER-I-NBR-DUAL
Luminario arbotante de multiples cuadros en color negro brillante con iluminación luz de día,MESSIER-I-NBR-LD
Luminario arbotante de multiples cuadros en color negro brillante con iluminación RGB,MESSIER-I-NBR-RGB
Luminario arbotante de multiples cuadros en color negro brillante con iluminación en RGB digital,MESSIER-I-NBR-TCH
Luminario arbotante de multiples cuadros en color negro con iluminación blanco calido,MESSIER-I-NG-BC
Luminario arbotante de multiples cuadros en color negro con iluminación blanco neutro,MESSIER-I-NG-BN
Luminario arbotante de multiples cuadros en color negro con iluminación DUAL,MESSIER-I-NG-DUAL
Luminario arbotante de multiples cuadros en color negro con iluminación luz de día,MESSIER-I-NG-LD
Luminario arbotante de multiples cuadros en color negro con iluminación RGB,MESSIER-I-NG-RGB
Luminario arbotante de multiples cuadros en color negro con iluminación en RGB digital,MESSIER-I-NG-TCH
Luminario arbotante de multiples cuadros en color negro rugoso con iluminación blanco calido,MESSIER-I-NR-BC
Luminario arbotante de multiples cuadros en color negro rugoso con iluminación blanco neutro,MESSIER-I-NR-BN
Luminario arbotante de multiples cuadros en color negro rugoso con iluminación DUAL,MESSIER-I-NR-DUAL
Luminario arbotante de multiples cuadros en color negro rugoso con iluminación luz de día,MESSIER-I-NR-LD
Luminario arbotante de multiples cuadros en color negro rugoso con iluminación RGB,MESSIER-I-NR-RGB
Luminario arbotante de multiples cuadros en color negro rugoso con iluminación en RGB digital,MESSIER-I-NR-TCH
TUBO DE ADHESIVO PARA MOLDURAS,MPMLED-A-T
Luminario tubular suspendido en color aluminio brillante con iluminación blanco calido,PEGASI-V-ALB-BC
Luminario tubular suspendido en color aluminio brillante con iluminación blanco neutro,PEGASI-V-ALB-BN
Luminario tubular suspendido en color aluminio brillante con iluminación Dual,PEGASI-V-ALB-DUAL
Luminario tubular suspendido en color aluminio brillante con iluminación luz de día,PEGASI-V-ALB-LD
Luminario tubular suspendido en color aluminio brillante con iluminación RGB,PEGASI-V-ALB-RGB
Luminario tubular suspendido en color aluminio brillante con iluminación en RGB digital,PEGASI-V-ALB-TCH
Luminario tubular suspendido en color blanco con iluminación blanco calido,PEGASI-V-BN-BC
Luminario tubular suspendido en color blanco con iluminación blanco neutro,PEGASI-V-BN-BN
Luminario tubular suspendido en color blanco con iluminación Dual,PEGASI-V-BN-DUAL
Luminario tubular suspendido en color blanco con iluminación luz de día,PEGASI-V-BN-LD
Luminario tubular suspendido en color blanco con iluminación RGB,PEGASI-V-BN-RGB
Luminario tubular suspendido en color blanco con iluminación en RGB digital,PEGASI-V-BN-TCH
Luminario tubular suspendido en color champagne con iluminación blanco calido,PEGASI-V-CH-BC
Luminario tubular suspendido en color champagne con iluminación blanco neutro,PEGASI-V-CH-BN
Luminario tubular suspendido en color champagne con iluminación Dual,PEGASI-V-CH-DUAL
Luminario tubular suspendido en color champagne con iluminación luz de día,PEGASI-V-CH-LD
Luminario tubular suspendido en color champagne con iluminación RGB,PEGASI-V-CH-RGB
Luminario tubular suspendido en color champagne con iluminación en RGB digital,PEGASI-V-CH-TCH
Luminario tubular suspendido en color gris con iluminación blanco calido,PEGASI-V-GR-BC
Luminario tubular suspendido en color gris con iluminación blanco neutro,PEGASI-V-GR-BN
Luminario tubular suspendido en color gris con iluminación Dual,PEGASI-V-GR-DUAL
Luminario tubular suspendido en color gris con iluminación luz de día,PEGASI-V-GR-LD
Luminario tubular suspendido en color gris con iluminación RGB,PEGASI-V-GR-RGB
Luminario tubular suspendido en color gris con iluminación en RGB digital,PEGASI-V-GR-TCH
Luminario tubular suspendido en color madera nogal con iluminación blanco calido,PEGASI-V-MN-BC
Luminario tubular suspendido en color madera nogal con iluminación blanco neutro,PEGASI-V-MN-BN
Luminario tubular suspendido en color madera nogal con iluminación Dual,PEGASI-V-MN-DUAL
Luminario tubular suspendido en color madera nogal con iluminación luz de día,PEGASI-V-MN-LD
Luminario tubular suspendido en color madera nogal con iluminación RGB,PEGASI-V-MN-RGB
Luminario tubular suspendido en color madera nogal con iluminación en RGB digital,PEGASI-V-MN-TCH
Luminario tubular suspendido en color madera obsura con iluminación blanco calido,PEGASI-V-MO-BC
Luminario tubular suspendido en color madera obscura con iluminación blanco neutro,PEGASI-V-MO-BN
Luminario tubular suspendido en color madera obscura con iluminación Dual,PEGASI-V-MO-DUAL
Luminario tubular suspendido en color madera obscura con iluminación luz de día,PEGASI-V-MO-LD
Luminario tubular suspendido en color madera obscura con iluminación RGB,PEGASI-V-MO-RGB
Luminario tubular suspendido en color madera obscura con iluminación en RGB digital,PEGASI-V-MO-TCH
Luminario tubular suspendido en color negro brillante con iluminación blanco calido,PEGASI-V-NBR-BC
Luminario tubular suspendido en color negro brillante con iluminación blanco neutro,PEGASI-V-NBR-BN
Luminario tubular suspendido en color negro brillante con iluminación Dual,PEGASI-V-NBR-DUAL
Luminario tubular suspendido en color negro brillante con iluminación luz de día,PEGASI-V-NBR-LD
Luminario tubular suspendido en color negro brillante con iluminación RGB,PEGASI-V-NBR-RGB
Luminario tubular suspendido en color negro brillante con iluminación en RGB digital,PEGASI-V-NBR-TCH
Luminario tubular suspendido en color negro con iluminación blanco calido,PEGASI-V-NG-BC
Luminario tubular suspendido en color negro con iluminación blanco neutro,PEGASI-V-NG-BN
Luminario tubular suspendido en color negro con iluminación Dual,PEGASI-V-NG-DUAL
Luminario tubular suspendido en color negro con iluminación luz de día,PEGASI-V-NG-LD
Luminario tubular suspendido en color negro con iluminación RGB,PEGASI-V-NGRGB
Luminario tubular suspendido en color negro con iluminación en RGB digital,PEGASI-V-NG-TCH
Luminario tubular suspendido en color negro rugoso con iluminación blanco calido,PEGASI-V-NR-BC
Luminario tubular suspendido en color negro rugoso con iluminación blanco neutro,PEGASI-V-NR-BN
Luminario tubular suspendido en color negro rugoso con iluminación Dual,PEGASI-V-NR-DUAL
Luminario tubular suspendido en color negro rugoso con iluminación luz de día,PEGASI-V-NR-LD
Luminario tubular suspendido en color negro rugoso con iluminación RGB,PEGASI-V-NR-RGB
Luminario tubular suspendido en color negro rugoso con iluminación en RGB digital,PEGASI-V-NR-TCH
Kit de perfil lineal para sobreponer en color aluminio,PLMX-H-250-1414-AL
Kit de perfil lineal para sobreponer en color negro,PLMX-H-250-1414-NG
Kit de perfil lineal para empotrar en color aluminio,PLMX-H-250-2314-AL
Kit de perfil lineal para empotrar en color negro,PLMX-H-250-2314-NG
"Tira flexible 280 LEDs, 2110 SMD, exterior",TLED-280-2110-IP66-1800K
